,Total,,Men,Women,Men,Women,,
Miscellaneous social scientists and related workers,36,-,-,-,,,,
Agricultural and food science technicians,36,-,-,-,,,,
Biological technicians,21,-,-,-,,,,
Chemical technicians,67,910,-,-,,,,
Geological and petroleum technicians,23,-,-,-,,,,
Nuclear technicians,3,-,-,-,,,,
Social science research assistants,1,-,-,-,,,,
"Directors, religious activities and education",37,-,-,-,,,,
"Religious workers, all other",40,-,-,-,,,,
Judicial law clerks,12,-,-,-,,,,
"Judges, magistrates, and other judicial workers",48,-,-,-,,,,
"Archivists, curators, and museum technicians",32,-,-,-,,,,
Library technicians,9,-,-,-,,,,
Artists and related workers,65,"1,166",-,-,,,,
Actors,13,-,-,-,,,,
Producers and directors,101,"1,192","1,224",-,63648,,,
"Athletes, coaches, umpires, and related workers",113,871,974,-,50648,,,
Dancers and choreographers,8,-,-,-,,,,
"Musicians, singers, and related workers",39,-,-,-,,,,
"Entertainers and performers, sports and related workers, all other",10,-,-,-,,,,
Announcers,28,-,-,-,,,,
"News analysts, reporters and correspondents",59,802,-,-,,,,
Editors,120,"1,018","1,051",-,54652,,,
Technical writers,51,"1,297",-,-,,,,
Miscellaneous media and communication workers,39,-,-,-,,,,
Broadcast and sound engineering technicians and radio operators,79,948,958,-,49816,,,
Photographers,55,938,-,-,,,,
"Television, video, and motion picture camera operators and editors",34,-,-,-,,,,
"Media and communication equipment workers, all other",0,-,-,-,,,,
Chiropractors,18,-,-,-,,,,
Dentists,61,"1,908",-,-,,,,
Optometrists,28,-,-,-,,,,
Physician assistants,71,"1,619",-,-,,,,
Podiatrists,2,-,-,-,,,,
Audiologists,11,-,-,-,,,,
Radiation therapists,12,-,-,-,,,,
Recreational therapists,10,-,-,-,,,,
Exercise physiologists,2,-,-,-,,,,
Veterinarians,38,-,-,-,,,,
Nurse anesthetists,24,-,-,-,,,,
Nurse midwives,2,-,-,-,,,,
"Health diagnosing and treating practitioners, all other",7,-,-,-,,,,
"Opticians, dispensing",28,-,-,-,,,,
Occupational therapy assistants and aides,8,-,-,-,,,,
Physical therapist assistants and aides,50,693,-,-,,,,
Massage therapists,41,-,-,-,,,,
Medical transcriptionists,32,-,-,-,,,,
Pharmacy aides,24,-,-,-,,,,
Veterinary assistants and laboratory animal caretakers,26,-,-,-,,,,
First-line supervisors of correctional officers,46,-,-,-,,,,
First-line supervisors of police and detectives,120,"1,127","1,149",-,59748,,,
First-line supervisors of fire fighting and prevention workers,56,"1,438","1,448",-,75296,,,
"First-line supervisors of protective service workers, all other",90,913,"1,004",-,52208,,,
Firefighters,291,"1,138","1,142",-,59384,,,
Fire inspectors,11,-,-,-,,,,
Detectives and criminal investigators,162,"1,173","1,183",-,61516,,,
Fish and game wardens,2,-,-,-,,,,
Parking enforcement workers,9,-,-,-,,,,
Transit and railroad police,3,-,-,-,,,,
Animal control workers,10,-,-,-,,,,
Private detectives and investigators,78,"1,025",-,-,,,,
Crossing guards,19,-,-,-,,,,
Transportation security screeners,28,-,-,-,,,,
"Lifeguards and other recreational, and all other protective service workers",43,-,-,-,,,,
"Counter attendants, cafeteria, food concession, and coffee shop",60,349,-,-,,,,
Dishwashers,128,368,364,-,18928,,,
"Food preparation and serving related workers, all other",3,-,-,-,,,,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",91,717,716,-,37232,,,
Pest control workers,64,653,653,-,33956,,,
Grounds maintenance workers,847,459,454,-,23608,,,
First-line supervisors of gaming workers,93,789,810,-,42120,,,
First-line supervisors of personal service workers,73,567,-,-,,,,
Animal trainers,10,-,-,-,,,,
Gaming services workers,78,627,-,-,,,,
Motion picture projectionists,3,-,-,-,,,,
"Ushers, lobby attendants, and ticket takers",6,-,-,-,,,,
Miscellaneous entertainment attendants and related workers,69,473,-,-,,,,
Embalmers and funeral attendants,7,-,-,-,,,,
"Morticians, undertakers, and funeral directors",17,-,-,-,,,,
Barbers,42,-,-,-,,,,
"Baggage porters, bellhops, and concierges",66,633,664,-,34528,,,
Tour and travel guides,19,-,-,-,,,,
Residential advisors,22,-,-,-,,,,
"Personal care and service workers, all other",42,-,-,-,,,,
Counter and rental clerks,75,547,-,-,,,,
Parts salespersons,88,617,643,-,33436,,,
Travel agents,46,-,-,-,,,,
"Models, demonstrators, and product promoters",16,-,-,-,,,,
Sales engineers,41,-,-,-,,,,
Telemarketers,55,526,-,-,,,,
"Door-to-door sales workers, news and street vendors, and related workers",38,-,-,-,,,,
"Switchboard operators, including answering service",18,-,-,-,,,,
Telephone operators,27,-,-,-,,,,
"Communications equipment operators, all other",9,-,-,-,,,,
Gaming cage workers,14,-,-,-,,,,
Procurement clerks,30,-,-,-,,,,
"Financial clerks, all other",63,752,-,-,,,,
Brokerage clerks,4,-,-,-,,,,
Correspondence clerks,6,-,-,-,,,,
"Court, municipal, and license clerks",58,738,-,-,,,,
"Credit authorizers, checkers, and clerks",36,-,-,-,,,,
"Library assistants, clerical",41,-,-,-,,,,
New accounts clerks,25,-,-,-,,,,
Reservation and transportation ticket agents and travel clerks,85,687,-,-,,,,
Cargo and freight agents,17,-,-,-,,,,
Couriers and messengers,167,727,737,-,38324,,,
"Meter readers, utilities",25,-,-,-,,,,
"Postal service mail sorters, processors, and processing machine operators",51,979,-,-,,,,
"Weighers, measurers, checkers, and samplers, recordkeeping",77,646,-,-,,,,
Computer operators,72,764,-,-,,,,
Desktop publishers,0,-,-,-,,,,
"Mail clerks and mail machine operators, except postal service",61,567,-,-,,,,
"Office machine operators, except computer",25,-,-,-,,,,
Proofreaders and copy markers,4,-,-,-,,,,
Statistical assistants,19,-,-,-,,,,
"First-line supervisors of farming, fishing, and forestry workers",23,-,-,-,,,,
Agricultural inspectors,16,-,-,-,,,,
Animal breeders,1,-,-,-,,,,
Fishers and related fishing workers,9,-,-,-,,,,
Hunters and trappers,2,-,-,-,,,,
Forest and conservation workers,13,-,-,-,,,,
Logging workers,44,-,-,-,,,,
First-line supervisors of construction trades and extraction workers,540,"1,027","1,033",-,53716,,,
Boilermakers,17,-,-,-,,,,
"Brickmasons, blockmasons, and stonemasons",105,657,656,-,34112,,,
Carpenters,801,696,699,-,36348,,,
"Carpet, floor, and tile installers and finishers",94,683,687,-,35724,,,
"Cement masons, concrete finishers, and terrazzo workers",41,-,-,-,,,,
Construction laborers,"1,221",605,605,-,31460,,,
"Paving, surfacing, and tamping equipment operators",12,-,-,-,,,,
Pile-driver operators,2,-,-,-,,,,
Operating engineers and other construction equipment operators,310,864,862,-,44824,,,
"Drywall installers, ceiling tile installers, and tapers",119,597,595,-,30940,,,
Electricians,640,883,884,-,45968,,,
Glaziers,28,-,-,-,,,,
Insulation workers,41,-,-,-,,,,
"Painters, construction and maintenance",358,563,562,-,29224,,,
Paperhangers,2,-,-,-,,,,
"Pipelayers, plumbers, pipefitters, and steamfitters",486,913,916,-,47632,,,
Plasterers and stucco masons,22,-,-,-,,,,
Reinforcing iron and rebar workers,8,-,-,-,,,,
Roofers,136,618,620,-,32240,,,
Sheet metal workers,113,868,857,-,44564,,,
Structural iron and steel workers,47,-,-,-,,,,
Solar photovoltaic installers,12,-,-,-,,,,
"Helpers, construction trades",51,513,-,-,,,,
Construction and building inspectors,59,"1,031","1,028",-,53456,,,
Elevator installers and repairers,21,-,-,-,,,,
Fence erectors,31,-,-,-,,,,
Hazardous materials removal workers,22,-,-,-,,,,
Highway maintenance workers,116,794,794,-,41288,,,
Rail-track laying and maintenance equipment operators,16,-,-,-,,,,
Septic tank servicers and sewer pipe cleaners,13,-,-,-,,,,
Miscellaneous construction and related workers,19,-,-,-,,,,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",53,"1,187","1,187",-,61724,,,
"Earth drillers, except oil and gas",25,-,-,-,,,,
"Explosives workers, ordnance handling experts, and blasters",6,-,-,-,,,,
Mining machine operators,59,"1,042","1,047",-,54444,,,
"Roof bolters, mining",4,-,-,-,,,,
"Roustabouts, oil and gas",11,-,-,-,,,,
Helpers--extraction workers,8,-,-,-,,,,
Other extraction workers,86,"1,120","1,126",-,58552,,,
"First-line supervisors of mechanics, installers, and repairers",289,"1,022","1,040",-,54080,,,
"Computer, automated teller, and office machine repairers",232,880,889,-,46228,,,
Radio and telecommunications equipment installers and repairers,118,859,846,-,43992,,,
Avionics technicians,8,-,-,-,,,,
"Electric motor, power tool, and related repairers",25,-,-,-,,,,
"Electrical and electronics installers and repairers, transportation equipment",4,-,-,-,,,,
"Electrical and electronics repairers, industrial and utility",20,-,-,-,,,,
"Electronic equipment installers and repairers, motor vehicles",18,-,-,-,,,,
Electronic home entertainment equipment installers and repairers,23,-,-,-,,,,
Security and fire alarm systems installers,45,-,-,-,,,,
Aircraft mechanics and service technicians,121,"1,080","1,062",-,55224,,,
Automotive body and related repairers,109,665,668,-,34736,,,
Automotive glass installers and repairers,17,-,-,-,,,,
Automotive service technicians and mechanics,722,734,737,-,38324,,,
Bus and truck mechanics and diesel engine specialists,285,813,811,-,42172,,,
Heavy vehicle and mobile equipment service technicians and mechanics,210,885,886,-,46072,,,
Small engine mechanics,38,-,-,-,,,,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",64,559,559,-,29068,,,
Control and valve installers and repairers,21,-,-,-,,,,
"Heating, air conditioning, and refrigeration mechanics and installers",322,769,773,-,40196,,,
Home appliance repairers,32,-,-,-,,,,
Industrial and refractory machinery mechanics,409,876,876,-,45552,,,
"Maintenance and repair workers, general",403,813,812,-,42224,,,
"Maintenance workers, machinery",32,-,-,-,,,,
Millwrights,49,-,-,-,,,,
Electrical power-line installers and repairers,108,"1,013","1,018",-,52936,,,
Telecommunications line installers and repairers,170,869,877,-,45604,,,
Precision instrument and equipment repairers,68,818,836,-,43472,,,
Wind turbine service technicians,5,-,-,-,,,,
"Coin, vending, and amusement machine servicers and repairers",32,-,-,-,,,,
Commercial divers,2,-,-,-,,,,
Locksmiths and safe repairers,19,-,-,-,,,,
Manufactured building and mobile home installers,0,-,-,-,,,,
Riggers,14,-,-,-,,,,
Signal and track switch repairers,8,-,-,-,,,,
"Helpers--installation, maintenance, and repair workers",12,-,-,-,,,,
"Other installation, maintenance, and repair workers",177,804,811,-,42172,,,
"Aircraft structure, surfaces, rigging, and systems assemblers",16,-,-,-,,,,
Engine and other machine assemblers,9,-,-,-,,,,
Structural metal fabricators and fitters,24,-,-,-,,,,
"Food and tobacco roasting, baking, and drying machine operators and tenders",5,-,-,-,,,,
Food batchmakers,82,473,-,-,,,,
Food cooking machine operators and tenders,11,-,-,-,,,,
"Food processing workers, all other",110,637,651,-,33852,,,
Computer control programmers and operators,79,759,790,-,41080,,,
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,-,-,-,,,,
"Forging machine setters, operators, and tenders, metal and plastic",5,-,-,-,,,,
"Rolling machine setters, operators, and tenders, metal and plastic",9,-,-,-,,,,
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",83,620,663,-,34476,,,
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",2,-,-,-,,,,
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",45,-,-,-,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",6,-,-,-,,,,
"Milling and planing machine setters, operators, and tenders, metal and plastic",3,-,-,-,,,,
Machinists,351,764,770,-,40040,,,
"Metal furnace operators, tenders, pourers, and casters",26,-,-,-,,,,
"Model makers and patternmakers, metal and plastic",4,-,-,-,,,,
"Molders and molding machine setters, operators, and tenders, metal and plastic",34,-,-,-,,,,
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,-,-,-,,,,
Tool and die makers,60,"1,020","1,025",-,53300,,,
"Welding, soldering, and brazing workers",551,723,733,-,38116,,,
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,-,-,-,,,,
"Layout workers, metal and plastic",9,-,-,-,,,,
"Plating and coating machine setters, operators, and tenders, metal and plastic",24,-,-,-,,,,
"Tool grinders, filers, and sharpeners",7,-,-,-,,,,
Prepress technicians and workers,20,-,-,-,,,,
Printing press operators,173,646,686,-,35672,,,
Print binding and finishing workers,18,-,-,-,,,,
"Pressers, textile, garment, and related materials",30,-,-,-,,,,
Shoe and leather workers and repairers,2,-,-,-,,,,
Shoe machine operators and tenders,1,-,-,-,,,,
"Tailors, dressmakers, and sewers",42,-,-,-,,,,
Textile bleaching and dyeing machine operators and tenders,3,-,-,-,,,,
"Textile cutting machine setters, operators, and tenders",8,-,-,-,,,,
"Textile knitting and weaving machine setters, operators, and tenders",6,-,-,-,,,,
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",12,-,-,-,,,,
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,-,-,-,,,,
Fabric and apparel patternmakers,1,-,-,-,,,,
Upholsterers,22,-,-,-,,,,
"Textile, apparel, and furnishings workers, all other",11,-,-,-,,,,
Cabinetmakers and bench carpenters,30,-,-,-,,,,
Furniture finishers,5,-,-,-,,,,
"Model makers and patternmakers, wood",0,-,-,-,,,,
"Sawing machine setters, operators, and tenders, wood",27,-,-,-,,,,
"Woodworking machine setters, operators, and tenders, except sawing",19,-,-,-,,,,
"Woodworkers, all other",16,-,-,-,,,,
"Power plant operators, distributors, and dispatchers",47,-,-,-,,,,
Stationary engineers and boiler operators,93,"1,044","1,051",-,54652,,,
Water and wastewater treatment plant and system operators,69,833,835,-,43420,,,
Miscellaneous plant and system operators,39,-,-,-,,,,
"Chemical processing machine setters, operators, and tenders",55,818,831,-,43212,,,
"Crushing, grinding, polishing, mixing, and blending workers",67,686,694,-,36088,,,
Cutting workers,43,-,-,-,,,,
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",39,-,-,-,,,,
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,-,-,-,,,,
Jewelers and precious stone and metal workers,24,-,-,-,,,,
"Medical, dental, and ophthalmic laboratory technicians",71,626,-,-,,,,
Painting workers,132,694,703,-,36556,,,
Photographic process workers and processing machine operators,21,-,-,-,,,,
Semiconductor processors,1,-,-,-,,,,
Adhesive bonding machine operators and tenders,5,-,-,-,,,,
"Cleaning, washing, and metal pickling equipment operators and tenders",5,-,-,-,,,,
Cooling and freezing equipment operators and tenders,4,-,-,-,,,,
Etchers and engravers,9,-,-,-,,,,
"Molders, shapers, and casters, except metal and plastic",21,-,-,-,,,,
"Paper goods machine setters, operators, and tenders",29,-,-,-,,,,
Tire builders,11,-,-,-,,,,
Helpers--production workers,42,-,-,-,,,,
Supervisors of transportation and material moving workers,181,829,925,-,48100,,,
Aircraft pilots and flight engineers,113,"1,427","1,446",-,75192,,,
Air traffic controllers and airfield operations specialists,31,-,-,-,,,,
Flight attendants,65,857,-,-,,,,
"Ambulance drivers and attendants, except emergency medical technicians",15,-,-,-,,,,
Taxi drivers and chauffeurs,250,608,609,-,31668,,,
"Motor vehicle operators, all other",26,-,-,-,,,,
Locomotive engineers and operators,56,"1,187","1,197",-,62244,,,
"Railroad brake, signal, and switch operators",8,-,-,-,,,,
Railroad conductors and yardmasters,48,-,-,-,,,,
"Subway, streetcar, and other rail transportation workers",16,-,-,-,,,,
Sailors and marine oilers,21,-,-,-,,,,
Ship and boat captains and operators,38,-,-,-,,,,
Ship engineers,7,-,-,-,,,,
Bridge and lock tenders,5,-,-,-,,,,
Parking lot attendants,60,440,441,-,22932,,,
Automotive and watercraft service attendants,77,512,518,-,26936,,,
Transportation inspectors,53,909,-,-,,,,
"Transportation attendants, except flight attendants",24,-,-,-,,,,
Other transportation workers,21,-,-,-,,,,
Conveyor operators and tenders,7,-,-,-,,,,
Crane and tower operators,73,959,959,-,49868,,,
"Dredge, excavating, and loading machine operators",30,-,-,-,,,,
Hoist and winch operators,6,-,-,-,,,,
Industrial truck and tractor operators,534,594,595,-,30940,,,
Cleaners of vehicles and equipment,255,482,480,-,24960,,,
Machine feeders and offbearers,14,-,-,-,,,,
Pumping station operators,21,-,-,-,,,,
Refuse and recyclable material collectors,54,550,564,-,29328,,,
Mine shuttle car operators,1,-,-,-,,,,
"Tank car, truck, and ship loaders",6,-,-,-,,,,
"Material moving workers, all other",39,-,-,-,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,,